1	0	12	x	x	0	0	0	80	100	60	0	0	0	40	0	0	40	0	0	0	0	0	0
2	13	17	m	x	0	90	40	0	0	40	50	0	0	30	0	0	0	0	0	0	40	0	0
3	13	17	f	x	0	0	30	0	0	30	0	0	80	0	0	0	30	0	80	0	20	0	0
4	18	29	m	o	0	40	0	0	0	60	40	0	0	0	0	30	0	40	0	0	70	0	0
5	18	29	m	t	0	50	20	0	0	0	0	0	0	40	0	0	0	40	0	80	50	0	0
6	18	29	m	m	0	0	0	0	0	0	0	20	0	0	0	0	0	40	0	0	80	0	0
7	18	29	m	b	0	0	0	0	0	20	70	0	0	0	0	40	0	30	0	0	40	0	0
8	18	29	m	c	0	0	0	10	0	50	0	0	0	0	80	0	20	0	0	0	30	0	0
9	18	29	f	o	0	0	0	0	0	40	0	0	70	0	0	0	20	20	80	0	50	0	0
10	18	29	f	t	0	0	0	30	0	0	0	0	0	40	0	0	0	30	0	70	0	0	0
11	18	29	f	m	0	0	0	0	0	0	0	20	80	0	0	0	0	40	60	0	30	0	0
12	18	29	f	b	0	0	0	0	0	20	40	0	70	0	0	0	0	30	30	0	50	0	0
13	18	29	f	c	0	0	0	0	0	30	0	0	80	30	60	0	40	0	60	0	0	0	0
14	30	64	m	o	0	0	0	0	0	70	60	0	0	0	0	0	0	0	0	0	0	0	0
15	30	64	m	t	0	30	0	0	0	40	0	0	0	0	0	0	0	30	0	60	0	0	0
16	30	64	m	m	0	0	0	0	0	30	80	20	30	0	0	0	0	30	0	0	0	0	0
17	30	64	m	b	0	0	0	0	0	30	80	0	0	0	30	0	0	40	0	0	0	0	0
18	30	64	m	c	0	0	0	0	0	40	40	30	0	0	70	0	0	0	0	0	0	0	20
19	30	64	f	o	0	0	0	0	0	40	0	0	90	0	0	0	0	50	60	0	0	0	0
20	30	64	f	t	0	30	0	0	0	30	0	0	50	0	0	0	0	30	0	70	0	0	0
21	30	64	f	m	0	0	0	0	0	0	0	30	80	0	0	0	0	50	40	0	0	0	0
22	30	64	f	b	0	0	0	0	0	40	60	0	30	0	0	0	0	80	30	0	0	0	0
23	30	64	f	c	0	0	0	0	0	30	0	30	50	0	70	0	50	0	0	0	0	0	0
24	65	100	m	x	0	0	0	0	0	0	0	30	70	0	80	0	0	0	0	0	0	20	40
25	65	100	f	x	0	0	0	0	0	0	0	40	0	0	20	0	40	0	90	0	0	0	0
